fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country
4315,2158,695.0,1.0,74.0,42.0,48.0,21.0,1.0,0.0,0.0,0.0,0.0,226,0,1361.0,695.0,695.0,3.0,0,6,0,0,5,3,25,193.04,264.0,208.28,0.0,44.5284052019165,19,12,1,0.0,0,0
4314,2157,2978.0,0.0,55.0,36.0,16.0,6.0,0.0,0.0,1.0,0.0,33.0,226,147,2978.0,1901.0,1901.0,3.0,0,3,0,1,1,3,300,182.88,170.0,187.96,0.0,46.0807665982204,30,7,1,1.0,0,0
4313,2157,1901.0,0.0,74.0,63.0,17.0,12.0,17.0,7.0,3.0,0.0,771.0,226,147,2978.0,1901.0,1901.0,3.0,0,3,0,1,1,3,300,185.42,170.0,182.88,1.0,46.38193018480493,28,11,0,0.0,0,0
4312,2156,3807.0,0.0,189.0,62.0,184.0,57.0,1.0,0.0,0.0,0.0,26.0,226,165,3807.0,1791.0,3807.0,3.0,0,9,0,1,1,3,300,162.56,125.0,165.1,1.0,39.64955509924709,28,8,0,0.0,0,0
4311,2156,1791.0,0.0,127.0,54.0,113.0,40.0,4.0,1.0,0.0,0.0,89.0,226,165,3807.0,1791.0,3807.0,3.0,0,9,0,1,1,3,300,165.1,125.0,162.56,0.0,39.88227241615332,13,5,1,0.0,0,0
4310,2155,397.0,0.0,169.0,37.0,169.0,37.0,9.0,2.0,1.0,0.0,110.0,226,75,397.0,3145.0,3145.0,3.0,0,0,0,1,7,3,300,177.8,155.0,180.34,1.0,40.46543463381246,33,14,0,0.0,0,0
4309,2155,3145.0,0.0,245.0,98.0,237.0,91.0,9.0,0.0,0.0,0.0,92.0,226,75,397.0,3145.0,3145.0,3.0,0,0,0,1,7,3,300,177.8,155.0,177.8,1.0,42.26694045174538,18,9,1,0.0,0,0
4308,2154,100.0,1.0,22.0,15.0,22.0,15.0,0.0,0.0,0.0,0.0,9.0,226,0,100.0,2560.0,100.0,3.0,0,3,0,0,12,1,36,175.26,170.0,187.96,0.0,41.96577686516085,19,7,1,0.0,0,0
4307,2154,2560.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,226,0,100.0,2560.0,100.0,3.0,0,3,0,0,12,1,36,182.88,170.0,190.5,0.0,47.65503080082136,23,7,0,0.0,0,0
4306,2153,226.0,0.0,60.0,11.0,51.0,6.0,12.0,4.0,0.0,0.0,337.0,226,147,226.0,2728.0,2728.0,3.0,0,0,0,2,3,3,265,175.26,155.0,180.34,1.0,43.55099247091034,19,7,0,0.0,0,0
