fight_stat_id,fight_id,fighter_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time
7984,3992,33.0,117,33.0,247.0,33.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,12.0,0.0,0.0,0.0,0.0,112.0,45.0,113.0,1.0,300.0
8576,4288,33.0,48,33.0,1108.0,1108.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,112.0,1.0,0.0,0.0,1.0,217.0,92.0,219.0,1.0,209.0
10052,5026,33.0,15,33.0,1613.0,1613.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,150.0,1.0,0.0,1.0,6.0,299.0,121.0,302.0,1.0,239.33333333333334
11738,5869,33.0,1,33.0,977.0,33.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,160.0,1.0,0.0,1.0,6.0,310.0,130.0,313.0,2.0,225.75
5269,2635,35.0,121,1920.0,35.0,1920.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,11.0,0.0,44.0
5488,2744,35.0,117,35.0,282.0,35.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,1.0,0.0,0.0,1.0,1.0,237.0,69.0,237.0,0.0,172.0
5822,2911,35.0,55,35.0,2255.0,2255.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,1.0,0.0,0.0,1.0,3.0,283.0,93.0,284.0,0.0,203.66666666666666
2511,1256,36.0,0,3184.0,36.0,3184.0,3.0,0,6,0,187.96,225.0,195.58,0.0,47.73442847364819,39,16,1,1.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,18.0,0.0,127.0
2723,1362,36.0,75,937.0,36.0,937.0,3.0,0,6,0,187.96,225.0,195.58,0.0,47.73442847364819,39,16,1,1.0,96.0,3.0,2.0,0.0,1.0,79.0,72.0,120.0,0.0,213.5
2895,1448,36.0,121,1926.0,36.0,1926.0,3.0,0,6,0,187.96,225.0,195.58,0.0,47.73442847364819,39,16,1,1.0,96.0,3.0,2.0,0.0,1.0,81.0,72.0,122.0,0.0,178.33333333333334
9637,4819,37.0,7,1640.0,37.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,57.0,0.0,0.0,0.0,0.0,43.0,44.0,66.0,0.0,134.0
9958,4979,37.0,3,37.0,1619.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,216.0,0.0,0.0,0.0,3.0,191.0,143.0,243.0,1.0,217.0
10373,5187,37.0,0,3803.0,37.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,220.0,0.0,0.0,0.0,3.0,270.0,177.0,322.0,2.0,229.33333333333334
10741,5371,37.0,5,2991.0,37.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,475.0,1.0,1.0,0.0,3.0,425.0,267.0,499.0,2.0,247.0
11889,5945,37.0,4,4028.0,37.0,4028.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,628.0,1.0,2.0,0.0,4.0,538.0,346.0,663.0,2.0,257.6
10803,5402,41.0,0,3479.0,41.0,3479.0,3.0,0,7,1,170.18,125.0,165.1,0.0,33.09240246406571,9,6,0,0.0,22.0,0.0,0.0,0.0,1.0,71.0,50.0,83.0,0.0,300.0
12351,6176,41.0,1,3112.0,41.0,3112.0,3.0,0,7,1,170.18,125.0,165.1,0.0,33.09240246406571,9,6,0,0.0,45.0,0.0,2.0,0.0,1.0,121.0,76.0,137.0,0.0,221.0
8637,4319,42.0,45,227.0,42.0,227.0,3.0,0,11,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,16.0,0.0,0.0,1.0,1.0,81.0,20.0,83.0,0.0,300.0
9191,4596,42.0,45,3133.0,42.0,42.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,120.0,0.0,0.0,2.0,6.0,296.0,136.0,313.0,0.0,290.0
9782,4891,42.0,7,42.0,3939.0,42.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,136.0,0.0,0.0,2.0,8.0,604.0,257.0,622.0,1.0,293.3333333333333
11354,5677,42.0,13,42.0,2205.0,2205.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,136.0,0.0,0.0,2.0,8.0,611.0,261.0,629.0,1.0,239.0
11850,5925,42.0,5,42.0,1612.0,1612.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,342.0,0.0,0.0,3.0,13.0,716.0,320.0,749.0,1.0,251.2
3225,1613,43.0,121,1189.0,43.0,1189.0,3.0,0,1,0,175.26,145.0,185.42,0.0,37.74127310061601,9,6,0,0.0,51.0,0.0,0.0,0.0,0.0,161.0,102.0,208.0,0.0,300.0
3469,1735,43.0,55,1382.0,43.0,1382.0,3.0,0,1,0,175.26,145.0,185.42,0.0,37.74127310061601,9,6,0,0.0,101.0,0.0,0.0,2.0,3.0,276.0,142.0,331.0,0.0,300.0
3736,1868,43.0,172,43.0,112.0,43.0,3.0,0,1,0,175.26,145.0,185.42,0.0,37.74127310061601,9,6,0,0.0,612.0,0.0,0.0,6.0,9.0,362.0,275.0,510.0,0.0,300.0
4066,2033,43.0,6,43.0,1259.0,1259.0,3.0,0,1,0,175.26,145.0,185.42,0.0,37.74127310061601,9,6,0,0.0,612.0,0.0,0.0,6.0,9.0,364.0,277.0,512.0,0.0,230.75
1798,899,48.0,0,48.0,1933.0,48.0,3.0,0,3,0,180.34,170.0,177.8,1.0,49.87542778918549,18,9,0,0.0,38.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,56.0
2033,1017,48.0,117,2178.0,48.0,2178.0,3.0,0,3,0,180.34,170.0,177.8,1.0,49.87542778918549,18,9,0,0.0,38.0,0.0,1.0,1.0,1.0,20.0,7.0,20.0,0.0,95.5
