fight_stat_id,fighter_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time
10619,26.0,6,1434.0,26.0,26.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,37,10,55.0,0.0,0.6666666666666666,0.6666666666666666,1.0,110.0,76.66666666666667,144.66666666666666,0.0,256.6666666666667
11626,26.0,4,26.0,3092.0,3092.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,19,7,82.5,0.0,0.0,1.0,1.5,159.5,102.5,200.0,0.0,300.0
12291,26.0,4,1597.0,26.0,1597.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,0,0,39.0,0.0,0.0,1.0,2.0,205.0,91.0,210.0,0.0,300.0
6360,30.0,67,30.0,3315.0,3315.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,108,6,77.76923076923077,0.15384615384615385,0.3076923076923077,0.38461538461538464,2.6923076923076925,132.07692307692307,61.30769230769231,139.3846153846154,0.15384615384615385,256.0769230769231
7150,30.0,3,30.0,4074.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,38,0,81.25,0.08333333333333333,0.3333333333333333,0.4166666666666667,2.75,132.16666666666666,61.333333333333336,139.75,0.16666666666666666,252.41666666666666
7617,30.0,138,1531.0,30.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,94,0,73.0909090909091,0.0,0.2727272727272727,0.45454545454545453,2.727272727272727,130.9090909090909,59.81818181818182,138.63636363636363,0.18181818181818182,258.72727272727275
8369,30.0,48,2779.0,30.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,86,0,72.8,0.0,0.1,0.4,2.9,132.0,61.3,139.4,0.2,254.6
8556,30.0,28,30.0,2721.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,36,6,72.88888888888889,0.0,0.1111111111111111,0.3333333333333333,2.4444444444444446,122.33333333333333,58.77777777777778,130.44444444444446,0.2222222222222222,249.55555555555554
9066,30.0,41,30.0,512.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,16,6,63.0,0.0,0.125,0.375,2.125,115.625,54.375,123.5,0.25,243.25
9432,30.0,41,30.0,268.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,36,6,71.14285714285714,0.0,0.14285714285714285,0.42857142857142855,2.2857142857142856,123.85714285714286,59.57142857142857,132.14285714285714,0.14285714285714285,246.57142857142858
9892,30.0,92,30.0,1697.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,56,0,81.66666666666667,0.0,0.16666666666666666,0.5,2.6666666666666665,139.16666666666666,67.0,148.83333333333334,0.0,274.3333333333333
10399,30.0,45,2029.0,30.0,2029.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,42,13,72.4,0.0,0.0,0.4,3.0,165.2,78.4,176.0,0.0,298.2
10904,30.0,42,30.0,2155.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,29,6,84.5,0.0,0.0,0.5,3.5,166.5,84.25,179.5,0.0,300.0
11102,30.0,0,30.0,883.0,883.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,19,7,62.666666666666664,0.0,0.0,0.0,3.3333333333333335,170.0,87.66666666666667,183.0,0.0,300.0
12444,30.0,49,30.0,899.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,19,7,67.5,0.0,0.0,0.0,3.0,186.0,108.5,205.5,0.0,300.0
14045,30.0,3,1434.0,30.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,0,0,15.0,0.0,0.0,0.0,2.0,113.0,50.0,132.0,0.0,300.0
10779,31.0,50,2007.0,31.0,31.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,26,0,316.0,0.8333333333333334,1.1666666666666667,2.3333333333333335,7.833333333333333,74.66666666666667,57.0,99.83333333333333,0.16666666666666666,300.0
11069,31.0,0,2720.0,31.0,31.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,0,0,299.6,1.0,1.0,1.6,7.0,78.6,58.6,103.8,0.2,300.0
11206,31.0,1,31.0,3847.0,31.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,0,0,308.75,1.0,1.25,2.0,8.25,70.25,55.75,99.0,0.25,300.0
11404,31.0,13,31.0,380.0,380.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,19,7,273.6666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667,9.333333333333334,63.0,47.0,89.0,0.0,300.0
11695,31.0,5,3471.0,31.0,3471.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,0,0,325.0,0.5,0.5,2.5,13.0,68.0,50.5,91.0,0.0,300.0
12025,31.0,16,98.0,31.0,98.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,0,0,381.0,0.0,0.0,2.0,17.0,89.0,55.0,112.0,0.0,300.0
7984,33.0,117,33.0,247.0,33.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,90,5,32.0,0.2,0.0,0.2,1.2,83.0,36.8,83.6,0.4,240.6
8576,33.0,48,33.0,1108.0,1108.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,18,0,37.0,0.25,0.0,0.25,1.5,75.75,34.75,76.25,0.25,225.75
10052,33.0,15,33.0,1613.0,1613.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,51,5,16.0,0.0,0.0,0.3333333333333333,1.6666666666666667,66.0,30.666666666666668,66.33333333333333,0.3333333333333333,261.6666666666667
11738,33.0,1,33.0,977.0,33.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,0,0,5.0,0.0,0.0,0.0,0.0,58.0,31.5,58.0,0.5,242.5
13162,33.0,43,33.0,336.0,33.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,105.0,54.0,105.0,0.0,300.0
5269,35.0,121,1920.0,35.0,1920.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,17,0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,94.33333333333333,31.0,94.66666666666667,0.0,203.66666666666666
5488,35.0,117,35.0,282.0,35.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,0,0,0.5,0.0,0.0,0.5,1.5,136.0,45.0,136.5,0.0,283.5
5822,35.0,55,35.0,2255.0,2255.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,1,1,0.0,0.0,0.0,0.0,2.0,46.0,24.0,47.0,0.0,267.0
9637,37.0,7,1640.0,37.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,63,1,113.14285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285,1.0,95.71428571428571,61.285714285714285,115.0,0.2857142857142857,231.14285714285714
9958,37.0,3,37.0,1619.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,55,0,122.5,0.16666666666666666,0.5,0.16666666666666666,1.1666666666666667,104.5,64.16666666666667,123.16666666666667,0.3333333333333333,247.33333333333334
10373,37.0,0,3803.0,37.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,27,0,115.2,0.2,0.6,0.2,0.8,95.8,57.2,112.4,0.2,236.8
10741,37.0,5,2991.0,37.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,0,0,143.0,0.25,0.75,0.25,1.0,100.0,63.0,120.75,0.0,232.5
11889,37.0,4,4028.0,37.0,4028.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,0,0,105.66666666666667,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,81.66666666666667,54.0,102.0,0.0,210.0
12806,37.0,5,37.0,3591.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,0,0,82.0,0.0,0.5,0.5,1.5,66.0,41.5,71.0,0.0,165.0
13404,37.0,25,37.0,740.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.850102669404517,13,2,0,0.0,0,0,2.0,0.0,1.0,0.0,0.0,9.0,9.0,9.0,0.0,30.0
10803,41.0,0,3479.0,41.0,3479.0,3.0,0,7,1,170.18,125.0,165.1,0.0,33.09240246406571,9,6,0,0.0,32,0,25.5,0.25,0.5,0.0,0.25,76.25,41.75,84.25,0.0,233.25
12351,41.0,1,3112.0,41.0,3112.0,3.0,0,7,1,170.18,125.0,165.1,0.0,33.09240246406571,9,6,0,0.0,0,0,26.666666666666668,0.3333333333333333,0.6666666666666666,0.0,0.0,78.0,39.0,84.66666666666667,0.0,211.0
12933,41.0,4,1796.0,41.0,41.0,3.0,0,8,1,170.18,125.0,165.1,0.0,33.09240246406571,9,6,0,0.0,0,0,28.5,0.5,0.0,0.0,0.0,92.0,45.5,100.0,0.0,245.5
13489,41.0,4,1804.0,41.0,1804.0,3.0,0,8,1,170.18,125.0,165.1,0.0,33.09240246406571,9,6,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,82.0,29.0,82.0,0.0,300.0
8637,42.0,45,227.0,42.0,227.0,3.0,0,11,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,1,1,49.285714285714285,0.0,0.0,0.42857142857142855,2.2857142857142856,130.85714285714286,57.42857142857143,135.71428571428572,0.14285714285714285,230.71428571428572
9191,42.0,45,3133.0,42.0,42.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,3,3,54.833333333333336,0.0,0.0,0.3333333333333333,2.5,139.16666666666666,63.666666666666664,144.5,0.16666666666666666,219.16666666666666
9782,42.0,7,42.0,3939.0,42.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,39,1,45.0,0.0,0.0,0.2,2.0,124.0,53.2,127.4,0.2,207.0
11354,42.0,13,42.0,2205.0,2205.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,19,7,52.25,0.0,0.0,0.25,2.0,78.0,36.25,82.0,0.0,183.75
11850,42.0,5,42.0,1612.0,1612.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,0,0,69.66666666666667,0.0,0.0,0.3333333333333333,2.6666666666666665,101.66666666666667,47.0,107.0,0.0,219.66666666666666
13702,42.0,39,42.0,3773.0,3773.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,15,1,1.5,0.0,0.0,0.0,1.5,100.0,41.0,100.5,0.0,179.5
14376,42.0,7,42.0,1672.0,1672.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.650239561943874,13,8,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,59.0
7813,54.0,3,2209.0,54.0,2209.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,91,0,260.3,0.5,0.6,1.2,4.0,117.1,88.1,165.7,0.1,300.0
8293,54.0,4,2552.0,54.0,2552.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,0,0,275.8888888888889,0.2222222222222222,0.6666666666666666,1.2222222222222223,4.222222222222222,117.22222222222223,89.33333333333333,166.77777777777777,0.1111111111111111,300.0
8958,54.0,5,54.0,3239.0,3239.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,0,0,285.375,0.25,0.75,1.0,4.0,118.375,93.75,170.5,0.125,300.0
9536,54.0,101,54.0,3403.0,54.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,66,0,320.14285714285717,0.2857142857142857,0.8571428571428571,1.1428571428571428,4.571428571428571,115.0,96.71428571428571,171.28571428571428,0.0,300.0
10176,54.0,19,54.0,2184.0,54.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,47,0,340.0,0.16666666666666666,0.5,1.1666666666666667,5.0,119.16666666666667,103.0,181.0,0.0,300.0
10577,54.0,24,1862.0,54.0,1862.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,3,3,253.2,0.2,0.6,1.2,5.0,123.0,94.2,178.4,0.0,300.0
11232,54.0,1,54.0,585.0,585.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,0,0,232.25,0.0,0.75,1.0,4.75,127.0,97.25,186.0,0.0,300.0
11514,54.0,4,54.0,2739.0,54.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,0,0,233.0,0.0,1.0,1.3333333333333333,6.0,131.33333333333334,100.0,189.33333333333334,0.0,300.0
11817,54.0,43,2552.0,54.0,2552.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,0,0,100.0,0.0,0.0,1.0,7.0,176.0,74.5,192.0,0.0,300.0
12191,54.0,16,2925.0,54.0,2925.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,0,0,41.0,0.0,0.0,0.0,8.0,236.0,96.0,241.0,0.0,300.0
6826,64.0,0,64.0,3421.0,64.0,3.0,0,5,0,177.8,185.0,185.42,1.0,39.29637234770705,13,3,0,0.0,101,9,117.0,0.0,0.0,1.0,6.0,42.0,54.0,76.0,0.0,110.0
11468,65.0,0,65.0,976.0,65.0,3.0,0,4,0,170.18,135.0,177.8,0.0,30.31895961670089,16,4,0,0.0,0,0,2.6666666666666665,0.0,0.0,0.0,0.0,116.16666666666667,47.333333333333336,116.5,0.8333333333333334,171.66666666666666
11840,65.0,5,65.0,1974.0,65.0,3.0,0,4,0,170.18,135.0,177.8,0.0,30.31895961670089,16,4,0,0.0,0,0,2.2,0.0,0.0,0.0,0.0,132.6,53.2,132.8,0.8,172.8
12178,65.0,5,65.0,3380.0,65.0,3.0,0,4,0,170.18,135.0,177.8,0.0,30.31895961670089,16,4,0,0.0,0,0,2.0,0.0,0.0,0.0,0.0,140.0,56.25,140.25,0.5,209.25
